dogid,day1,day3,day5,day7
A1,1,0,0,0
A2,1,1,0,0
A3,1,0,0,0
A4,1,0,0,0
A5,1,1,0,1
A6,1,0,0,0
A7,1,1,0,0
A8,1,1,0,0
A9,1,1,0,0
A10,1,0,0,0
A11,1,0,0,0
A12,1,1,0,0
A13,1,0,1,1
A14,1,1,0,0
A15,1,0,0,0
A16,1,0,0,0
A17,1,0,0,0
A18,1,1,1,0
A19,1,1,0,0
A20,1,0,0,1
B1,0,1,0,0
B2,0,1,0,0
B3,0,1,0,0
B4,0,1,0,1
B5,0,1,0,0
B6,0,1,1,0
B7,0,1,0,0
B8,0,1,0,0
B9,0,1,0,0
B10,0,1,1,1
B11,0,1,0,0
B12,0,1,0,0
B13,0,1,0,0
B14,0,1,0,0
B15,0,1,1,0
B16,0,1,0,0
B17,0,1,0,0
B18,0,1,1,0
B19,0,1,0,1
C1,0,0,1,0
C2,0,0,1,0
C3,0,0,1,0
C4,0,0,1,1
C5,0,0,1,0
C6,0,0,1,0
C7,0,0,1,0
C8,0,0,1,1
C9,0,0,1,0
C10,0,0,1,0
C11,0,0,1,0
D1,0,0,0,1
D2,0,0,0,1
D3,0,0,0,1
D4,0,0,0,1
D5,0,0,0,1
D6,0,0,0,1
D7,0,0,0,1
D8,0,0,0,1
D9,0,0,0,1
D10,0,0,0,1
D11,0,0,0,1
D12,0,0,0,1
D13,0,0,0,1
D14,0,0,0,1
