date,region,sex ,ageclass ,num_Bpro
2-Nov-13,North,F ,A,6
2-Nov-13,North,F ,A,2
2-Nov-13,North,M,A,0
2-Nov-13,North,M,A,0
2-Nov-13,North,M,A,0
2-Nov-13,North,M,A,0
2-Nov-13,North,M,A,0
2-Nov-13,North,M ,YA ,0
2-Nov-13,North,F ,A,0
2-Nov-13,North,F ,YA ,0
2-Nov-13,North,F ,YA ,0
2-Nov-13,North,M ,YA ,4
19-Nov-13,North,M ,A,0
19-Nov-13,North,F ,A,0
19-Nov-13,North,F ,YA ,0
19-Nov-13,North,F ,YA ,0
19-Nov-13,North,M ,YA ,0
19-Nov-13,North,M ,YA ,0
19-Nov-13,North,M ,YA ,0
19-Nov-13,North,F ,YA ,0
19-Nov-13,North,F ,YA ,0
19-Nov-13,North,F ,YA ,12
19-Nov-13,North,M ,YA ,1
19-Nov-13,North,M ,A,0
19-Nov-13,North,M ,A,0
27-Nov-13,South,F ,YA ,51
27-Nov-13,South,M,A,17
27-Nov-13,South,M,YA ,1
27-Nov-13,South,M,A,3
27-Nov-13,South,M,A,0
27-Nov-13,South,F ,A,45
27-Nov-13,South,M ,A,24
27-Nov-13,South,F ,A,16
27-Nov-13,South,M ,A,4
27-Nov-13,South,F ,YA ,4
27-Nov-13,South,M ,A,3
27-Nov-13,South,M ,A,2
27-Nov-13,South,M ,A,2
27-Nov-13,South,F ,A,2
4-Dec-13,South,M ,A,1
4-Dec-13,South,F ,A,1
4-Dec-13,South,M ,A,0
4-Dec-13,South,M ,A,0
4-Dec-13,South,M ,A,0
4-Dec-13,South,M ,A,0
4-Dec-13,South,M ,A,0
4-Dec-13,South,M ,A,0
4-Dec-13,South,M ,YA ,0
4-Dec-13,South,M ,YA ,0
21-Jan-14,Central,F ,A,3
21-Jan-14,North,M ,A,2
21-Jan-14,North,F ,YA ,2
21-Jan-14,Central,F ,A,2
21-Jan-14,North,M ,A,0
21-Jan-14,Central,M ,A,0
21-Jan-14,Central,M ,A,0
21-Jan-14,Central,M ,A,0
21-Jan-14,Central,M ,A,0
21-Jan-14,South,F ,A,54
21-Jan-14,South,M,A,2
21-Jan-14,South,F ,YA ,1
19-Jan-14,North,M ,A,0
19-Jan-14,North,F ,A,0
19-Jan-14,North,F ,YA ,0
19-Jan-14,North,F ,YA ,0
19-Jan-14,North,M ,YA ,0
19-Jan-14,North,M ,YA ,0
19-Jan-14,North,M ,YA ,0
19-Jan-14,North,F ,YA ,0
19-Jan-14,North,F ,YA ,0
19-Jan-14,North,F ,YA ,11
2-Feb-14,North,M ,YA ,1
2-Feb-14,North,M ,A,0
2-Feb-14,North,M ,A,0
2-Feb-14,South,F ,YA ,46
2-Feb-14,South,M,A,19
2-Feb-14,South,M,YA ,2
9-Feb-14,Central,M,A,3
9-Feb-14,Central,M,A,0
9-Feb-14,Central,F ,A,51
9-Feb-14,Central,M ,A,26
9-Feb-14,Central,F ,A,14
9-Feb-14,Central,M ,A,4
9-Feb-14,Central,F ,YA ,4
9-Feb-14,Central,M ,A,3
12-Feb-14,South,M ,A,1
12-Feb-14,South,M ,A,2
12-Feb-14,South,F ,A,2
12-Feb-14,South,M ,A,1
12-Feb-14,South,F ,A,1
12-Feb-14,South,M ,YA ,0
12-Feb-14,South,M ,A,0
12-Feb-14,South,M ,YA ,0
12-Feb-14,South,M ,A,0
12-Feb-14,South,M ,A,6
12-Feb-14,South,M ,A,0
12-Feb-14,South,M ,YA ,0
12-Feb-14,South,M ,YA ,0
18-Feb-14,North,F ,A,3
18-Feb-14,North,M ,A,2
18-Feb-14,North,F ,YA ,1
18-Feb-14,North,F ,A,1
18-Feb-14,North,M ,A,1
18-Feb-14,North,M ,A,0
18-Feb-14,North,M ,A,0
18-Feb-14,North,M ,A,0
